Date,Open,High,Low,Close,Adj Close,Volume
2009-06-01,145.800003,147.369995,143.309998,144.330002,128.618286,18403800
2009-06-02,143.250000,144.970001,142.009995,143.130005,127.548904,11988200
2009-06-03,141.910004,143.309998,140.740005,142.149994,126.675575,11809700
2009-06-04,144.649994,149.750000,144.399994,149.470001,133.198807,17166900
2009-06-05,151.050003,151.169998,148.699997,149.009995,132.788818,12817500
2009-06-08,147.550003,149.440002,146.190002,148.350006,132.200684,10908900
2009-06-09,149.000000,150.789993,148.100006,149.309998,133.056183,11566100
2009-06-10,149.929993,149.990005,144.520004,146.679993,130.712509,14346700
2009-06-11,146.119995,147.949997,145.000000,145.149994,129.349014,12086500
2009-06-12,144.380005,146.429993,144.149994,145.639999,129.785675,8209900
2009-06-15,144.169998,145.600006,142.899994,143.009995,127.442001,8742100
2009-06-16,143.940002,145.850006,143.259995,144.160004,128.466797,10129700
2009-06-17,144.089996,144.089996,139.029999,139.729996,124.519089,14054600
2009-06-18,139.960007,143.699997,139.630005,143.089996,127.513275,10526500
2009-06-19,143.190002,144.389999,141.529999,143.130005,127.548904,9473700
2009-06-22,141.869995,143.520004,137.009995,137.009995,122.095116,13939000
2009-06-23,138.339996,141.220001,137.600006,141.190002,125.820122,11056800
2009-06-24,142.529999,144.690002,141.309998,142.649994,127.121185,11531000
2009-06-25,141.570007,144.619995,140.850006,144.429993,128.707413,10135900
2009-06-26,144.490005,148.190002,143.929993,146.740005,130.765961,9837400
2009-06-29,147.500000,149.500000,146.100006,149.360001,133.100769,7835800
2009-06-30,149.399994,149.800003,146.240005,147.440002,131.389771,9614400
2009-07-01,147.589996,148.880005,146.619995,147.320007,131.282822,7505000
2009-07-02,145.860001,146.199997,143.279999,143.490005,127.869774,7685000
2009-07-06,142.660004,146.460007,142.259995,146.460007,130.516434,11756800
2009-07-07,146.240005,146.970001,142.300003,142.539993,127.023132,9503000
2009-07-08,142.449997,142.929993,135.229996,138.550003,123.467514,19399300
2009-07-09,141.759995,144.889999,140.910004,143.210007,127.620255,15026500
2009-07-10,142.350006,144.869995,141.199997,141.869995,126.426086,12685200
2009-07-13,146.720001,149.850006,145.050003,149.440002,133.171982,23817800
2009-07-14,148.979996,151.149994,148.080002,149.660004,133.368073,28813100
2009-07-15,152.009995,155.979996,150.630005,155.259995,138.358475,21135600
2009-07-16,155.000000,157.990005,153.809998,156.839996,139.766479,12643600
